,fx,dxy,gold,oil,vix,em_fx,reserves,net_reserves,policy_rate,cpi,fx_returns,fx_vol,em_fx_returns,em_fx_vol,vol_suppression_ratio,cpi_yoy,real_rate,reserve_change,reserve_burn_proxy,ma_50,ma_200,dist_ma_200,log_trend,trend_deviation,ath,dist_ath,vol_adj_ret,fx_accel,regime,vol_score,reserve_score,trend_score,intervention_intensity,position,strategy_returns,carry_returns,trades,costs,net_returns,cum_returns,equity_curve
2019-09-11,5.766970157623291,98.6500015258789,1494.4000244140625,55.75,14.61,125.0283,113705230.0,156518.0,1.46632,174.07,0.003991015499762783,0.11166403779866642,0.0002695753085344168,0.043095156363708996,2.5911041337513323,0.0,1.46632,0.0,0.0,5.6736401844024655,5.607589199542999,0.028422366976040454,7.895196188510105,-0.26955961322202804,6.9532999992370605,-0.1706139303271738,-0.039904549850002934,-0.0028306151826325964,0.0,0.09523809523809523,0.5079365079365079,0.6825396825396826,0.37777777777777777,0.0,0.0,0.0,1.0,0.0005,-0.0005,0.2107384703317573,21073.84703317573
2019-09-12,5.747099876403809,98.30999755859376,1498.699951171875,55.09000015258789,14.22,124.3631,113705230.0,156518.0,1.46632,174.07,-0.003451481689189675,0.11293189902737609,-0.005334599168360962,0.04525856472852341,2.4952602828830486,0.0,1.46632,0.0,0.0,5.676136178970337,5.609691197872162,0.024494873903891136,7.902028274783836,-0.2727057311673536,6.9532999992370605,-0.17347160671416453,-0.06215097517023833,-0.007442497188952458,1.0,0.33333333333333337,0.5079365079365079,0.7142857142857143,0.47936507936507944,-1.0,0.003451481689189675,0.0017857142857142857,1.0,0.0005,0.004737195974903961,0.2117367797651703,21173.67797651703
2019-09-13,5.660399913787842,98.26000213623048,1490.9000244140625,54.849998474121094,13.74,124.1642,113705230.0,156518.0,1.46632,174.07,-0.015200812385866078,0.12358585072048849,-0.0016006293269624264,0.04530796580806878,2.727684823547726,0.0,1.46632,0.0,0.0,5.677436780929566,5.611303198337555,0.00874961015559323,7.908866273184608,-0.28429692470845025,6.9532999992370605,-0.18594050099824258,-0.07618195700449983,-0.011749330696676403,0.0,0.0,0.5079365079365079,0.9365079365079365,0.3904761904761905,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.21163091137528772,21163.091137528772
2019-09-16,5.727799892425537,98.6500015258789,1503.0999755859375,62.900001525878906,14.67,124.4234,113705230.0,156518.0,1.46632,174.07,0.011836948201203155,0.12598057050276895,0.0020853823274734028,0.04545510466589112,2.771538453794454,0.0,1.46632,0.0,0.0,5.677145376205444,5.61333019733429,0.02039247488872253,7.915710188828457,-0.27640101067504286,6.9532999992370605,-0.17624726488803724,-0.03519680464984087,0.027037760587069234,1.0,0.0,0.5079365079365079,0.7777777777777778,0.35873015873015873,-1.0,-0.011836948201203155,0.0017857142857142857,1.0,0.0005,-0.010551233915488869,0.20939794412561896,20939.794412561896
2019-09-17,5.728700160980225,98.26000213623048,1505.0999755859375,59.34000015258789,14.44,124.6118,113705230.0,156518.0,1.46632,174.07,0.00015716292975048957,0.12588081425412717,0.001513039409222689,0.042626515570516534,2.9531105831506226,0.0,1.46632,0.0,0.0,5.677110576629639,5.6153321981430055,0.02018900375559436,7.922560026835855,-0.27691300014445247,6.9532999992370605,-0.1761177913208409,-0.022558481617234512,-0.011679785271452666,0.0,0.0,0.5079365079365079,0.7777777777777778,0.35873015873015873,0.0,0.0,0.0,1.0,0.0005,-0.0005,0.20929324515355616,20929.324515355616
2019-09-18,5.7017998695373535,98.5999984741211,1507.5,58.11000061035156,13.95,124.4525,113705230.0,156518.0,1.46632,174.07,-0.0047067654140499375,0.12196070899644691,-0.0012791879183180217,0.04275765743243996,2.852371161566866,0.0,1.46632,0.0,0.0,5.676630172729492,5.617040197849274,0.015089739204738698,7.929415792331705,-0.2809306487558151,6.9532999992370605,-0.17998649991184415,-0.02260273683698471,-0.004863928343800427,1.0,0.04761904761904767,0.5079365079365079,0.8571428571428571,0.3936507936507937,-1.0,0.0047067654140499375,0.0017857142857142857,1.0,0.0005,0.0059924796997642225,0.2105474306764366,21054.74306764366
2019-09-19,5.6803998947143555,98.2699966430664,1498.4000244140625,58.130001068115234,14.05,124.6992,113705230.0,156518.0,1.46632,174.07,-0.0037602573284081947,0.11129983439084544,0.0019803202677161407,0.042846704920793885,2.597628793079737,0.0,1.46632,0.0,0.0,5.676537771224975,5.61870769739151,0.010979784079439777,7.936277490445346,-0.2842488305691037,6.9532999992370605,-0.18306417163970662,-0.03043037312401662,0.0009465080856417428,0.0,0.2857142857142857,0.5079365079365079,0.9206349206349206,0.5015873015873016,0.0,-0.0,0.0,1.0,0.0005,-0.0005,0.21044215696109841,21044.21569610984
2019-09-20,5.717299938201904,98.51000213623048,1507.300048828125,58.09000015258789,15.32,124.6827,113705230.0,156518.0,1.46632,174.07,0.006475020916619205,0.1137779662640823,-0.00013232716587758785,0.041189428781060695,2.762309884627449,0.0,1.46632,0.0,0.0,5.677126770019531,5.62058584690094,0.017207119317337788,7.943145126310545,-0.280222147866321,6.9532999992370605,-0.17775733265798604,-0.02943895417382151,0.0102352782450274,1.0,0.1428571428571429,0.5079365079365079,0.8095238095238095,0.4222222222222223,-1.0,-0.006475020916619205,0.0017857142857142857,1.0,0.0005,-0.00518930663090492,0.20935010808055826,20935.010808055828
2019-09-23,5.740699768066406,98.5999984741211,1523.699951171875,58.63999938964844,14.91,124.8966,113705230.0,156518.0,1.46632,174.07,0.004084458543478291,0.11150932964158089,0.0017140848810090542,0.04044948570939802,2.7567551894899087,0.0,1.46632,0.0,0.0,5.677446165084839,5.622450845241547,0.021031561872157097,7.9500187050655216,-0.2779010992252636,6.9532999992370605,-0.17439204856740034,-0.018917800731069224,-0.0023905623731409137,0.0,0.19047619047619047,0.5079365079365079,0.7777777777777778,0.43492063492063493,0.0,0.0,0.0,1.0,0.0005,-0.0005,0.209245433026518,20924.5433026518
2019-09-24,5.719200134277344,98.33999633789062,1532.0999755859375,57.290000915527344,17.05,124.9212,113705230.0,156518.0,1.46632,174.07,-0.0037521547650700665,0.1051555318734706,0.00019694353308304918,0.03662952783650737,2.870785895543697,0.0,1.46632,0.0,0.0,5.677689170837402,5.624181845188141,0.016894597597426064,7.95689823185294,-0.28122743717114235,6.9532999992370605,-0.1774840529094281,-0.018597509015677662,-0.007836613308548358,1.0,0.04761904761904767,0.5079365079365079,0.8412698412698413,0.39047619047619053,-1.0,0.0037521547650700665,0.0017857142857142857,1.0,0.0005,0.005037869050784353,0.21029958411758026,21029.958411758027
